	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
334	Blumeria graminis f. sp. triticale	1689686	PRJEB40658	736910	Fungi	Ascomycetes	141.403	43.6634	GCA_905067625.1	chromosome 01:LR898468.1; chromosome 02:LR898469.1; chromosome 03:LR898470.1; chromosome 04:LR898471.1; chromosome 05:LR898472.1; chromosome 06:LR898473.1; chromosome 07:LR898474.1; chromosome 08:LR898475.1; chromosome 09:LR898476.1; chromosome 10:LR898477.1; chromosome 11:LR898478.1	CAJHIT01	36	7993.0	7993.0	2021/06/14	2021/06/14	Chromosome	UNIVERSITY OF ZURICH	SAMEA7375779
366	Tuber melanosporum Mel28	656061	PRJEA38847	38847	Fungi	Ascomycetes	124.946	44.9	GCA_000151645.1		CABJ01	398	7496.0	7496.0	2010/04/27	2010/05/20	Scaffold	The French-Italian Tuber Genome Consortium	SAMEA2272024
448	Melampsora larici-populina 98AG31	747676	PRJNA46711	46711	Fungi	Basidiomycetes	101.129	41.3	GCA_000204055.1		AECX01	462	16265.0	16257.0	2011/04/12	2014/08/01	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02744053
1243	Ophiocordyceps sinensis	72228	PRJNA608258	608258	Fungi	Ascomycetes	110.881	45.1	GCA_012934285.1		JAAVMX01	23	8916.0	9961.0	2020/04/30	2020/06/25	Contig	Institute of Zoology, Chinese Academy of Sciences	SAMN14168421
1421	Gigaspora margarita	4874	PRJNA575165	575165	Fungi	Other Fungi	773.099	25.6	GCA_009809945.1		WTPW01	6489	26584.0	29544.0	2019/12/30	2019/12/30	Scaffold	CNR	SAMN12878420
1457	Epichloe coenophiala	5047	PRJNA593223	593223	Fungi	Ascomycetes	104.225	43.3	GCA_018801565.1		JAFEMN01	216			2021/06/09	2021/06/09	Contig	University of Kentucky	SAMN13473040
1481	Termitomyces albuminosus	79931	PRJNA848423	848423	Fungi	Basidiomycetes	100.255	46.9	GCA_027475525.1		JAMWFC01	138			2022/12/28	2022/12/28	Scaffold	Neijiang Normal University	SAMN29005522
1597	Gigaspora rosea	44941	PRJNA430513	430513	Fungi	Other Fungi	567.861	26.5	GCA_003550325.1		QKWP01	7499	31506.0	31247.0	2018/09/12	2021/01/14	Scaffold	INRA 	SAMN08375202
2038	Hemileia vastatrix	203904	PRJNA912191	912191	Fungi	Basidiomycetes	747.98	33.8	GCA_030280995.1		JASXTE01	794			2023/06/16	2023/06/16	Scaffold	National Coffee Research Center - CENICAFE	SAMN32232808
2179	Cenococcum geophilum 1.58	794803	PRJNA196023	196023	Fungi	Ascomycetes	177.557	37.5	GCA_001692895.1		LKKR01	268	14745.0	14709.0	2016/07/22	2016/07/26	Scaffold	DOE Joint Genome Institute	SAMN04110467
2188	Dendrothele bispora CBS 962.96	1314807	PRJNA196017	196017	Fungi	Basidiomycetes	130.651	44.6	GCA_004369135.1		QPKH01	3942	34156.0	33640.0	2019/03/25	2019/04/24	Scaffold	DOE Joint Genome Institute	SAMN02744998
2190	Mycena galopus ATCC 62051	1314675	PRJNA196020	196020	Fungi	Basidiomycetes	211.362	51.0	GCA_014925785.1		WIQG01	1364	50234.0	49684.0	2020/10/23	2020/10/23	Contig	DOE Joint Genome Institute	SAMN02745023
2191	Wilcoxina mikolae CBS 423.85	1314677	PRJNA196022	196022	Fungi	Ascomycetes	117.289	45.8	GCA_014904905.1		WITH01	1604	13410.0	13052.0	2020/10/20	2020/10/26	Scaffold	DOE Joint Genome Institute	SAMN02745026
2199	Zopfia rhizophila CBS 207.26	1314779	PRJNA196051	196051	Fungi	Ascomycetes	152.781	33.5	GCA_010093925.1		JAAEIT01	864	21781.0	21644.0	2020/01/31	2020/03/24	Scaffold	DOE Joint Genome Institute	SAMN02745844
