	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Proteins/Genes
1	Arabidopsis thaliana	3702	PRJNA10719	10719	Plants	Land Plants	119.669	36.0529	GCA_000001735.2	chromosome 1:NC_003070.9/CP002684.1; chromosome 2:NC_003071.7/CP002685.1; chromosome 3:NC_003074.8/CP002686.1; chromosome 4:NC_003075.7/CP002687.1; chromosome 5:NC_003076.8/CP002688.1; mitochondrion MT:NC_037304.1/BK010421.1; chloroplast Pltd:NC_000932.1/AP000423.1		7	38311.0	48265.0	2001/08/13	2022/10/20	Chromosome	The Arabidopsis Information Resource (TAIR)	SAMN03081427	1.259820939155856
3	Glycine max	3847	PRJNA19861	19861	Plants	Land Plants	978.942	35.1221	GCA_000004515.5	chromosome 1:NC_016088.4/CM000834.4; chromosome 2:NC_016089.4/CM000835.4; chromosome 3:NC_016090.4/CM000836.4; chromosome 4:NC_016091.4/CM000837.4; chromosome 5:NC_038241.2/CM000838.3; chromosome 6:NC_038242.2/CM000839.4; chromosome 7:NC_038243.2/CM000840.4; chromosome 8:NC_038244.2/CM000841.4; chromosome 9:NC_038245.2/CM000842.4; chromosome 10:NC_038246.2/CM000843.4; chromosome 11:NC_038247.2/CM000844.4; chromosome 12:NC_038248.2/CM000845.3; chromosome 13:NC_038249.2/CM000846.3; chromosome 14:NC_038250.2/CM000847.3; chromosome 15:NC_038251.2/CM000848.3; chromosome 16:NC_038252.2/CM000849.3; chromosome 17:NC_038253.2/CM000850.4; chromosome 18:NC_038254.2/CM000851.4; chromosome 19:NC_038255.2/CM000852.4; chromosome 20:NC_038256.2/CM000853.4; mitochondrion MT:NC_020455.1/; chloroplast Pltd:NC_007942.1/	ACUP04	347	59046.0	74248.0	2010/01/05	2021/03/10	Chromosome	US DOE Joint Genome Institute (JGI-PGF)	SAMN00002965	1.2574602852013683
5	Solanum lycopersicum	4081	PRJNA119	119	Plants	Land Plants	827.963	35.6925	GCA_000188115.4	chromosome 1:NC_015438.3/CM001064.3; chromosome 2:NC_015439.3/CM001065.3; chromosome 3:NC_015440.3/CM001066.3; chromosome 4:NC_015441.3/CM001067.3; chromosome 5:NC_015442.3/CM001068.3; chromosome 6:NC_015443.3/CM001069.3; chromosome 7:NC_015444.3/CM001070.3; chromosome 8:NC_015445.3/CM001071.3; chromosome 9:NC_015446.3/CM001072.3; chromosome 10:NC_015447.3/CM001073.3; chromosome 11:NC_015448.3/CM001074.3; chromosome 12:NC_015449.3/CM001075.3; chloroplast:NC_007898.3/; mitochondrion:NC_035963.1/	AEKE03	3066	31219.0	37604.0	2010/12/10	2018/08/08	Chromosome	Solanaceae Genomics Project	SAMN02981290	1.20452288670361
8	Zea mays	4577	PRJEB32225	600450	Plants	Land Plants	2182.79	46.7831	GCA_902167145.1	chromosome 1:NC_050096.1/LR618874.1; chromosome 2:NC_050097.1/LR618875.1; chromosome 3:NC_050098.1/LR618876.1; chromosome 4:NC_050099.1/LR618877.1; chromosome 5:NC_050100.1/LR618878.1; chromosome 6:NC_050101.1/LR618879.1; chromosome 7:NC_050102.1/LR618880.1; chromosome 8:NC_050103.1/LR618881.1; chromosome 9:NC_050104.1/LR618882.1; chromosome 10:NC_050105.1/LR618883.1; mitochondrion MT:NC_007982.1/; chloroplast Pltd:NC_001666.2/	CABHLF01	687	49897.0	57578.0	2020/01/10	2020/01/13	Chromosome	MaizeGDB	SAMEA5569141	1.1539371104475218
35	Aedes aegypti	7159	PRJNA392114	392114	Animals	Insects	1278.73	38.1667	GCA_002204515.1	chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1	NIGP01	2310	19623.0	28317.0	2017/06/15	2017/06/23	Chromosome	NCBI	SAMN07177802	1.4430515211741324
37	Drosophila melanogaster	7227	PRJNA13669	13669	Animals	Insects	143.726	42.0803	GCA_000001215.4	chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2		1870	17864.0	30717.0	2002/04/30	2022/10/19	Chromosome	Department of Biochemistry, Michigan State University	SAMN02803731	1.7194917151813705
40	Brugia malayi	6279	PRJNA10729	10729	Animals	Roundworms	87.1557	28.5	GCA_000002995.5		CAAKNF01	196	11680.0	14388.0	2019/05/08	2019/05/08	Scaffold	WormBase group, EBI	SAMEA3146321	1.231849315068493
41	Danio rerio	7955	PRJNA11776	11776	Animals	Fishes	1679.2	36.6374	GCA_000002035.4	chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/		2848	47394.0	57100.0	2005/07/05	2018/01/25	Chromosome	Genome Reference Consortium	SAMN06930106	1.2047938557623328
42	Apis mellifera	7460	PRJNA477511	477511	Animals	Insects	225.251	32.6352	GCA_003254395.2	linkage group LG1:NC_037638.1/CM009931.2; linkage group LG2:NC_037639.1/CM009932.2; linkage group LG3:NC_037640.1/CM009933.2; linkage group LG4:NC_037641.1/CM009934.2; linkage group LG5:NC_037642.1/CM009935.2; linkage group LG6:NC_037643.1/CM009936.2; linkage group LG7:NC_037644.1/CM009937.2; linkage group LG8:NC_037645.1/CM009938.2; linkage group LG9:NC_037646.1/CM009939.2; linkage group LG10:NC_037647.1/CM009940.2; linkage group LG11:NC_037648.1/CM009941.2; linkage group LG12:NC_037649.1/CM009942.2; linkage group LG13:NC_037650.1/CM009943.2; linkage group LG14:NC_037651.1/CM009944.2; linkage group LG15:NC_037652.1/CM009945.2; linkage group LG16:NC_037653.1/CM009946.2; mitochondrion MT:NC_001566.1/CM009947.2	QIUM02	177	12398.0	23471.0	2018/06/19	2019/09/11	Chromosome	NCBI	SAMN09259743	1.893127923858687
43	Ciona intestinalis	7719	PRJDA65419	65419	Animals	Other Animals	115.227	36.0239	GCA_000224145.2	chromosome 1:NC_020166.2/HT000001.2; chromosome 2:NC_020167.2/HT000007.2; chromosome 3:NC_020168.2/HT000008.2; chromosome 4:NC_020169.2/HT000009.2; chromosome 5:NC_020170.2/HT000010.2; chromosome 6:NC_020171.2/HT000011.2; chromosome 7:NC_020172.2/HT000012.2; chromosome 8:NC_020173.2/HT000013.2; chromosome 9:NC_020174.2/HT000014.2; chromosome 10:NC_020175.2/HT000002.2; chromosome 11:NC_020176.2/HT000003.2; chromosome 12:NC_020177.2/HT000004.2; chromosome 13:NC_020178.2/HT000005.2; chromosome 14:NC_020179.2/HT000006.2; mitochondrion MT:NC_017929.1/HT000188.1	EAAA01	1280	16366.0	21099.0	2011/04/27	2014/11/13	Chromosome	Organization: Department of Zoology, Graduate School of		1.2891971159721374
